song_name,movie_album,singers
Bhama Bhama,Murari," Mani Sharma,  Anuradha Sriram,  S.P. Balasubrahmanyam"
Kannullo Nee Roopame,Ninne Pelladatha," Hariharan,  Chitra"
Pillagali,Athadu, Shreya Ghoshal
Nee Prashnalu,Kotha Bangaru Lokam, S. P. Balasubrahmanyam
Neeti Mullai (Bit),Varsham," Devi Sri Prasad,  Sagar,  Sumangali"
Gummadi Gummadi,Daddy, Hariharan
Hrudhayam,Parugu," Mani Sharma,  Hemachandra"
Kottaga,Swarna Kamalam," S. P. Balasubrahmanyam,  S. Janaki"
Naa Manasuney,Manmadhudu," S.P. Balasubrahmanyam,  K. S. Chithra"
Oke Oka Mata,Chakram, Chakri
Ee Manase Se Se,Tholiprema, S.P. Balasubrahmanyam
Ghal Ghal (Akasam Thakela),Nuvvostanante Nenoddantana, S.P. Balasubrahmanyam
Dai Dai Dhamma,Indra," Mani Sharma,  KK,  Maha Lakshmi"
Nuvve Nuvve Kavalantundi,Nuvve Nuvve," Koti,  K. S. Chithra"
Attarintiki,Okkadu," Mani Sharma,  Shreya Ghoshal,  Hariharan"
Chandamama,Athadu," Ranjith,  Mahalakshmi Iyer,  Suchithra"
Bharata Vedamuga,Pournamy," Devi Sri Prasad,  K. S. Chithra"
Chalore Chalore (Telugu),Jalsa, Ranjith
Edhuta Nilichindhi,Vaana," Kamalakar,  Karthik"
Telusuna,Sontham," Devi Sri Prasad,  K. S. Chithra"
Evvarineppudu,Manasantha Nuvve," R.P. Patnaik,  KK"
Ye Swapnalokala,Suswagatham, S. P. Balasubrahmanyam
Nuvante Nakistamani,Santhosham," R.P. Patnaik,  Rajesh Krishnan,  Usha"
Sada Nannu,Mahanati, Dr. Charulatha Mani
Chandrullo Unde,Nuvvostanante Nenoddantana, Shankar Mahadevan
Emaindo Emo,Prematho Raa," Harini,  S.P. Balasubrahmanyam"
Kannula Logililo,Raja," S.A. Raj Kumar,  K. S. Chithra,  Unni Krishnan"
Yeto Vellipoyindi,Ninne Pelladatha, Rajesh Krishnan
O Manasa O Manasa,Bhadra," Devi Sri Prasad,  Ravi Varma"
Chema Chekka,Bobbili Raja," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
Vastunna Vachestunna,V," Shreya Ghoshal,  Amit Trivedi,  Anurag Kulkarni"
Thanu Vethikina,Shailaja Reddy Alludu, Satya Yamini
Meghale Takindi,Preminchukundam Raa," S. P. Balasubramaniyam,  K. S. Chitra"
