,song_name,movie_album,singers
671,Papiki Papiki,Criminal (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
673,Gala Gala Paare,Srimathi Vellostha," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
674,Kokkarako,Prema Katha," Sandeep Chowta,  Rajesh Krishnan"
675,Dandalandi Kotha,Taraka Ramudu," Koti,  K. S. Chithra,  Krishnam Raju"
676,Prathi Okariki Tholi,Oka Chinna Maata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
678,Prema Devinchuma,Nenu Premisthunnanu," Sirpi,  Mano"
679,Swapnalanu,Yuvasena," Jassie Gift,  Sandeep"
680,Avuno Teliyadu,Entha Manchivaadavuraa, Shreya Ghoshal
681,Nee Kokakintha,Donga Mogudu," S.P. Balasubrahmanyam,  S. Janaki"
682,Pekallo Jokerla,Assembly Rowdy," K. V. Mahadevan,  S.P. Balasubrahmanyam,  K. S. Chithra"
683,Agiripove Ramachilaka,Panjaram," Raj,  M.M. Sreelekha"
684,Ekimeedaa,Gautamiputra Satakarni," Udit Narayan,  Shreya Ghoshal"
685,Na Kanne Hamsa,Jodi," A.R. Rahman,  Rafi"
686,Naalo Innalluga,Sridevi Soda Center," Dinker,  Ramya Behara"
687,Chhamaku Chhamaku,Antahpuram," Mano,  Swarnalatha"
688,Rama Chiluka Ragalu M,Sree Srimathi Satyabhama," S.P. Balasubrahmanyam,  S.V. Krishna Reddy"
691,Manasa Yenduku Kanniru,Vazram," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  Renuka,  Srilatha"
692,Chilipi Chirugali,Dongaata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
693,Prema O Prema,Gokulamlo Seetha, S.P. Balasubrahmanyam
694,Ninnu Choosi,Maa Nanna Ki Pelli," Koti,  S.P. Balasubrahmanyam,  Sujatha Mohan"
696,Kanivini Erugani,Kanyadhanam," Koti,  S.P. Balasubrahmanyam"
697,Yedo Tahaa Tahaa,Anaganaga Oka Roju," Mano,  Swarnalatha"
698,Ji Jjinaka Jinkara,Surya IPS," Ilaiyaraaja,  S. Janaki,  S.P. Balasubrahmanyam"
699,Oho Bhama,Top Hero (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
700,"Gummadi Gummadi (From ""Daddy"")",Priyamaina Nannaku, Hariharan
701,Podde Erugani,Gokulamlo Seetha, Chitra
702,Prema Sangati Emito,Prema Katha," Sandeep Chowta,  Soumya Rai"
703,Aakalakalaka,Mogudu," B. Babushankar,  Chinmayi Sripada,  Hemachandra"
704,Vunnamata,Rukmini," S.P. Balasubrahmanyam,  K. S. Chithra"
705,Chaitrama Raa,Pavitra Prema," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
706,Aathmathvam,Swarna Kamalam, S. Janaki
707,Hey Paaru,Galipatam," Bheems Ceciroleo,  Adnan Sami,  Shreya Ghoshal"
709,Ramanama Mentho,Maa Aavida Collector," Vandemataram Srinivas,  K. S. Chithra,  S.P. Balasubrahmanyam"
710,Thalli Dhandaale,Lorry Driver," S.P. Balasubrahmanyam,  Chitra"
711,Udatha Udatha,Maayalodu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam"
713,Navvindi Malle Chandu,Kallu, Sesha Girisham
714,Andaralaga,Kudirithe Kappu Coffee," Yogeshwara Sharma,  K. S. Chithra"
715,Hai Hai Venelamma,Taraka Ramudu," Koti,  S.P. Balasubrahmanyam"
716,Paara Hushar,Swayam Krishi," S.P. Balasubrahmanyam,  S. Janaki"
717,Gallamundi Bosu,Rakshana (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
718,Chittikoona ( Happy ),Maa Aayana Bangaram," Vandemataram Srinivas,  S. Janaki,  S.P. Balasubrahmanyam"
719,Oppuko Sundari,M. Dharmaraju M.A.," Raj-Koti,  Mano"
720,Neerugari Paripoku,Chettu Kinda Pleader," S.P. Balasubrahmanyam,  K. S. Chithra"
721,Thummeda Thummeda,Bawa Bawa Panneeru, K. S. Chithra
722,Kundanapu Bommaki,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam,  S.P.Sailaja"
723,Kuyile Kuyile,Vazram," S.V. Krishna Reddy,  K. S. Chithra,  S.P. Balasubrahmanyam"
724,Vayari Bhama - Official Remix,"Vayari Bhama - Official Remix (From ""Thammudu"")", Ramana Gogula
725,Hey Vastaava,Aavida Maa Aavide," Sri,  Anuradha Sriram"
726,E Ragamundi,Manasulo Maata, S. P. Balasubrahmanyam
727,Polimeradhatipothunna,Sirivennela," S.P. Balasubrahmanyam,  B. Vasantha"
728,Thalayetthi,Mahathma, S P Balasubrahmanyam
729,Undi Undi Urimindi,Panchadara Chilaka, S.P. Balasubrahmanyam
730,Rangu Rangu Rekkala,Preminche Manasu Alludugaru Vachcharu Telugu, M. M. Keeravani
731,Maatatho Cheppalani,Bhale Mavayya," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
734,Shivani Bhavani (Male),Swathi Kiranam, S.P. Balasubrahmanyam
735,Jaamurathri,Top Hero (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
736,Mudante Vadante,Criminal (Original Motion Picture Soundtrack)," Vennelakanti,  S.P.Balasubramanyam,  Chitra"
737,Tajmahalani,Chandralekha," Sandeep Chowta,  Rajesh Krishnan,  Sunitha"
739,Prakruthi Kanthaku,Sirivennela, S.P. Balasubrahmanyam
742,Adugadugunaa,Okkadunnadu, M. M. Keeravani
743,Bamchiki Bam Bam,Allari Mogudu, Chitra
744,Prema Modhalaite,Suprabhatam, S.P. Balasubrahmanyam
746,Love Is Blind,Anaganaga Oka Roju," Mano,  K. S. Chithra"
747,Jaliga Jabilamma,Swathi Kiranam," Vani Jayaram,  K. S. Chithra"
748,Marugela,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  Hariharan"
749,Sanna Jaaji,Allari Primikudu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
751,O Paapa Muddu Paapa,Top Hero (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam"
752,Evarini Choosthu Unna,Oka Chinna Maata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
753,Sunday Sunday,Prema Katha," Sandeep Chowta,  K. S. Chithra,  Mano"
754,Enno Cheppalunkunna,Naalo Vunna Prema," Koti,  Hariharan,  Sujatha Mohan"
756,Sadicheyakamma,Taraka Ramudu," Koti,  S.P. Balasubrahmanyam"
757,Ooru Natta Naadivaaye,Narappa," Anurag Kulkarni,  Mani Sharma"
758,Amrutham Title Song,Amrutham Title Song, Kalyani Malik
759,Hello Pillo,Sisindhri," Raj,  K. S. Chithra,  S.P. Balasubrahmanyam"
760,Jeevinchu Prema,Pellikanuka," M.M. Keeravani,  K. S. Chithra,  Vandemataram Srinivas"
761,Maa Ille Chandranivasam,Gillikajjalu," S.P. Balasubrahmanyam,  K. S. Chithra"
762,Hello Antoo,Ashta Chamma," Srikrishna,  Sushma"
763,Hey Papa,Gokulamlo Seetha," Mano,  Malgudi Shubha"
764,Emoy Ninnenoy,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam,  S.P. Sailaja"
765,Mrignayanaa,Gautamiputra Satakarni," S.P. Balasubrahmanyam,  Shreya Ghoshal"
766,Konchem Agara,Asha Asha Asha," Hariharan,  Sujatha Mohan,  Annupamaa"
767,Atu Itu Chudake,Kalasinaduddam," S.A. Raj Kumar,  K. S. Chithra,  S.P. Balasubrahmanyam"
768,Oo Lele Oo Lele,Sindhooram," Malaysia Vasudevan,  Mohandas,  Srinivas Chakravarthi,  Srinivas"
769,Andhala Seemalo,Gokulamlo Seetha," Mano,  Chitra"
770,Aye Rukkamma Chukkamma,Chaala Bagundhi," Koti,  K. S. Chithra"
773,Sarigamapadani,Rukmini," S.P. Balasubrahmanyam,  K. S. Chithra"
774,Ramudu Manchi,Taraka Ramudu," Koti,  S.P. Balasubrahmanyam"
775,Haire Haire,Panchadara Chilaka, Rajesh Krishnan
776,Choosthunna Fusion Mix,Mogudu," B. Babushankar,  Karthik"
777,Thelavarademo (Male),Sruthilayalu," K. V. Mahadevan,  K.J. Yesudas"
778,Prema Johaar,Hitler," Murali,  Mano"
780,Pillisthe Palukutanani,Pilisthe Palukutha, S.P. Balasubrahmanyam
781,Yedu Malleu Ettu Sukumari Ki,Sindhooram," Madhavapeddi Satyam,  Krishnam Raju,  Praveen"
782,Suprabhathamlo Melukunnana,Swapna Lokam, S. P. Balasubrahmanyam
783,Chaali Chalani Kulukulalona,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  K. S. Chithra,  P. Jayachandran"
784,Chilakamma,Asha Asha Asha," P. Unnikrishnan,  Anuradha Sriram"
785,Erra Errani Kurradhana,M. Dharmaraju M.A.," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
786,Swapnala Venta Swargala Veeta,Dongaata," Bharadwaj,  S.P. Balasubrahmanyam"
787,Tango Kalalo,Cheliyaa," A.R. Rahman,  Hriday Gattani,  Tanvi Shah"
788,Kanule Vethike Veluge,Kanyadhanam," Koti,  K.J. Yesudas"
790,Raajaya Namaha,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam"
791,Beedilu Thagandi,Top Hero (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
792,Gopala Krishnudammaa,Naalo Vunna Prema," Koti,  K. S. Chithra,  Tippu"
793,Yeavaro Okaru,Ankuram," Hamsalekha,  S.P. Balasubrahmanyam,  K. S. Chithra"
794,Kanne Chiluka,Lorry Driver," S.P. Balasubrahmanyam,  Chitra"
795,Mounamendhuku,Classmates," Koti,  Mallikarjun,  Anjana Sowmya"
796,Ko Ko Kopama,Pandaga," M. M. Keeravani,  S.P. Balasubrahmanyam"
797,Prematho Ninu,Nenu Premisthunnanu," Sirpi,  K. S. Chithra,  Mano"
798,Entha Panjesindee,Dongodu," Vidhya Sagar,  Hariharan,  Sujatha Mohan"
800,Chilipi Yatralaku,Aditya 369," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
803,Emanukunna Emaina,Ooyala," S.V. Krishna Reddy,  S.P. Balasubrahmanyam"
804,Gundello Gudiganta,Gowri," Koti,  Mallikarjun,  Usha"
805,Hello Basu,Sisindhri," Raj,  Mano,  Muralidhar,  Kota Srinivasa Rao"
807,Sagatu Manishi,Ammo Okato Thareeku," Vandemataram Srinivas,  K.J. Yesudas"
808,Ottasi Cheppava,Aathma Bandham," S.P. Balasubrahmanyam,  Chitra"
809,Mellaga Lofi Mix,Varsham," S.P.Charan,  Sumangali"
810,Now or Never,Vedam (Original Motion Picture Soundtrack)," Ranjith,  Deepu,  Geetha Madhuri,  Chaitra"
811,Padana Gopala,Gayam," Mano,  Eeshwar,  Chitra"
812,Andari Mundara,Nenu Premisthunnanu," Sirpi,  K. S. Chithra,  S.P. Balasubrahmanyam"
813,Kaatuka Pittala,Uugadi, S.V. Krishna Reddy
814,Antarikshayanam,Antariksham 9000 KMPH," Kaala Bhairava,  Sirivennela Seetharama Sastry"
815,Kanchare Kanchare,Kalasinaduddam," S.A. Raj Kumar,  Hariharan,  Sujatha Mohan"
816,Viche Chirugali (Male),Naalo Vunna Prema," Koti,  S.P. Charan"
817,Chinkule Okkati,Pavitra Prema," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
818,Kotraa Dappu,Bedurulanka 2012," Mani Sharma,  Prudhvi Chandra"
819,Together We Rock (Telugu),Rrr Ost Vol-7, M.M. Keeravaani
820,Hello Hello Darling,Swayam Krishi, S.P. Balasubrahmanyam
821,Matotundi Magada,Bava Nachadu," M. M. Keeravani,  Shankar Mahadevan,  Anuradha Sriram"
822,Diri Diri Diri Diridi,Manasulo Maata," Udit Narayan,  Sunanda Sharma"
823,Sreekaram Edi Maro Charithraki,Chaala Bagundhi," Koti,  Poornima,  Kalpana,  Parthasarathy"
824,Story Theme,Sri Seetharamula Kalyanam Chothamu Rarandi, M. M. Keeravani
825,Vunnamata Vinnavista,Sardukupodam Randi," S.V. Krishna Reddy,  Udit Narayan,  Sunitha"
826,Bommava Ammadu,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
827,Ashta Chamma Theme,Ashta Chamma, Sushma
828,Oopalaenaya,Anaganaga Oka Roju," Mano,  K. S. Chithra"
829,Prema Prema Chepama,Rukmini," S.P. Balasubrahmanyam,  K. S. Chithra,  Vidyasagar"
830,Mental Madhilo,OK Bangaram," A.R. Rahman,  K. Krishna Chaitanya,  Jonita Gandhi"
831,Segalu Chimmuthondhi,Nawab," A.R. Rahman,  Sunitha Sarathy,  Nakul Abhyankar,  Sathyaprakash D"
832,Jaago Narasimhaa Jaagore,Syeraa Narasimha Reddy," Shankar Mahadevan,  Haricharan,  Anurag Kulkarni"
833,Pelliki Mundu Oka Saari,Dharma Kshetram," Ilaiyaraaja,  S.P. Balasubrahmanyam,  S. Janaki"
834,Ninna Monna Maatho,Chelikaadu," S.A. Raj Kumar,  K. S. Chithra,  Sujatha Mohan"
835,Joru Joruga,Kshemmanga Velli Labamga Randi," Vandemataram Srinivas,  Sukhwinder Singh,  Nityasree"
836,Vayyari Bhama,Number One (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam,  Chitra"
837,Vishakapatnam Beechi,Doragaariki Donga Pellam," Koti,  S.P. Balasubrahmanyam"
838,Bhamaro Nanne Pyar  Karo,Ghatothkachudu," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  Swarnalatha"
839,O Dywama,Pavitra Prema," Koti,  K.J. Yesudas"
840,Pakka Commercial - Title Song,Pakka Commercial," Jakes Bejoy,  Hema Chandra"
841,Gundello Dhada Dhada,Antham," S.P. Balasubrahmanyam,  Chitra"
842,Ramachilakamma,Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi," Sirivennela Sitaramasastri,  Chandrabose,  Srinivasa Murthy,  Srinivas"
843,Emitouthunnadhi,Ide Naa Modati Prema Lekha," Jeans Srinivas,  Swarnalatha"
844,O Chelli Anarakali,Sindhooram, Suresh Peters
845,Aiyayo,Rangeli," A.R. Rahman,  Annupamaa"
846,"Thalli Pegu (From ""Narappa"")","Thalli Pegu (From ""Narappa"")"," Saindhavi,  Mani Sharma"
847,Gunde Chatuga (Male),Classmates," Koti,  Hemachandra"
848,Tholisaari,Premante Pranamista," A.R. Rahman,  K. S. Chithra,  Unni Krishnan"
849,Pasvaado Emito,Sitha Rathnam Gari Abbaye, S.P. Balasubrahmanyam
850,Yeendaammo,Anaganaga Oka Roju," Mano,  Lalitha Sagari"
851,Athadilo Edo,Kudirithe Kappu Coffee," Yogeshwara Sharma,  Hamiska Iyer"
852,Bhaga Bhagamani,Kanche, Vijay Prakash
853,Endaka Egirevamma,Srinivasa Kalyanam," S.P. Balasubrahmanyam,  P. Susheela"
854,Ninne Premincha,Naa Hrudayamlo Nidurinche Cheli," Mano,  K. S. Chithra"
855,Manasaa Nannu Vadhili,Nawab," A.R. Rahman,  Anuradha Sriram,  Pooja Av,  Aparna Narayanan"
856,Parameshwarani,Apathbhandavudu, S.P. Balasubrahmanyam
857,Okate Kadhaa,Oke Oka Jeevitham (Original Motion Picture Soundtrack)," Gowtham Bharadwaj,  Krishna Kanth,  Jakes Bejoy"
858,Venavantra Abbai,Aaro Pranam," S.P. Balasubrahmanyam,  Jikki,  K. S. Chithra"
859,Athmatvam Girija,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam"
860,Gunde Chatuga (Female),Classmates," Koti,  Chaitra"
861,Kottandayya,Pokiri Raja, S.P. Balasubrahmanyam
862,Anaganaganaga Lofi Mix by Abhishek Martyn,Anaganaganaga Lofi Mix by Abhishek Martyn," Sirivennela Seetharama Sastry,  Thaman S,  Armaan Malik"
863,O Maina,Antham, Chitra
864,Yopam Pushpam,Sutradharulu," S. P. Balasubrahmanyam,  S.P. Sailaja"
865,Dum Dum Dum,Dongodu," Vidhya Sagar,  K. S. Chithra,  Valisha Babji"
866,Hai Rabba,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  K. S. Chithra,  Radhika"
867,Samba Samba,Love Birds," A.R. Rahman,  Aslam Musthafa"
868,Pileche (Trending Version),Pileche (Trending Version)," Mani Sharma,  Hemachandra,  Shweta Mohan"
869,Nyaya Devathaku,Korukunna Priyudu," Koti,  S.P. Balasubrahmanyam"
870,Evaru Choodani,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  K. S. Chithra"
871,Adagalanundi Oka,Little Soldiers," Sri,  Deepika,  Vishnukanth,  Srilekha"
872,Varevaa,Money," Sri Maruthi,  Ramgopal Varma,  Siri Vennela Seetha Ramasasthry,  Sathyam"
873,Kamuni Patnam,Nippu Ravva," S.P. Balasubrahmanyam,  Chitra"
874,Dhirana Thmo Thakita,Navvuthu Bathakalira," Devi Sri Prasad,  S.P. Balasubrahmanyam,  Sumangali"
875,Vellamma Karthika Jyothi,Suryudu, K. S. Chithra
876,Chinari Kittaya Putti,Gillikajjalu," S.P. Balasubrahmanyam,  K. S. Chithra"
877,Muvvala Navakala Lofi Mix,Pournamy," S.P.Balasubrahmanyam,  K. S. Chithra"
878,Havva Havva,Oh Chinadana," Vidhya Sagar,  Mano,  Swarnalatha"
879,A Ale Ranattu,Rowdigari Pellam," S.P. Balasubrahmanyam,  Chitra"
880,Hatteri Chintamani,Gamyam," Deepu,  Gayatri"
881,Aoura Laila,Veedevadandee Babu," Sirpi,  Manu"
882,Kurrakaru Poojinche,Oka Chinna Maata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
883,Nannu Nammanee,Nawab," A.R. Rahman,  Shakthisree Gopalan,  Lady Kash"
884,Chitapata Chinukulu,Aithe, M.M. Keeravaani
885,Eppudu Nee Roopamlo,Mogudu," B. Babushankar,  Karthik"
886,Siva Siva Moorthyvi,Rukmini," S.P. Balasubrahmanyam,  Mano"
887,Pellivaramandi .. Mee Intikochinamandi,Pellivaramandi," K. Veeru,  S.P. Balasubrahmanyam,  S.P. Charan,  K. S. Chithra"
888,Malli Malli,Aalu Magalu, S. P. Balasubrahmanyam
889,Oye Oye,Pokiri Raja," S.P. Balasubrahmanyam,  Chitra"
890,Madhuramu Kadha,Oka Chinna Maata," Bharadwaj,  K. S. Chithra"
891,Chalekki Undanuko,Antham," Chitra,  Jojo"
892,Hai Re Hai,Sindooram, Srinivasa Chakravarthy
893,Andam Emitante,W/o V. Vara Prasad," S.P. Balasubrahmanyam,  K. S. Chithra"
894,Aiswayara Rai O Emo,Ramudochadu," S.P. Balasubrahmanyam,  Suresh Peters"
895,Eppudainna - BGM,Mahanubhavudu - BGM, Swetha Pandit
896,Jago Jago Junior,Vechivunta," Akash,  Ravi Varma"
897,Dhivi Dhari Veedi Ila Jaaripadi,Chaala Bagundhi," Koti,  S.P. Balasubrahmanyam,  Sangeetha"
898,Thade Paamayye,Suprabhatam, Ashok Khosla
899,Ekkadundhi Nyayam,Kanyadhanam," Koti,  K.J. Yesudas"
900,Samayama,Gamyam, Sujatha Mohan
901,Pallello Kala Undhi,Yatra, S. P. Balasubrahmanyam
902,Okkokka Vana Chukka,Pokiri Raja," S.P. Balasubrahmanyam,  Chitra"
903,Devudi Gullo,Maa Nanna Ki Pelli," Koti,  K. S. Chithra"
904,Saaho Saarvabowma Saaho,Gautamiputra Satakarni," Vijay Prakash,  Keerthi Sagathiya"
905,Bhalegundi Bhalegundi,Kanyadhanam," Koti,  S.P. Balasubrahmanyam"
906,Konda Kommuna,Vasantha," Vandemataram Srinivas,  Swarnalatha"
907,Chaalle Gaani,Gamyam," Chaitanya,  Sunitha"
908,Enado Jarigina,Gowri," Koti,  Mano"
909,Varevva Varahala,M. Dharmaraju M.A.," Raj-Koti,  K. S. Chithra,  Mano"
910,Antha Naa Istam,Kauravudu," Mani Sharma,  Muralidar,  Dharma Teja"
911,Edi Prema Charithraki,Kanyadhanam," Koti,  K.J. Yesudas"
912,Pakkumantu,Pelli Sambhandham, S.A. Raj Kumar
913,Raavayya,Nippu Ravva, S.P. Balasubrahmanyam
914,Bhantureethi Koluvu,Ntr Biopic," K. S. Chithra,  Sreenidhi Tirumala"
915,Puvva Puvva Vayasu,Nayudu Gari Kutumbam," S. P. Balasubramaniyam,  K. S. Chitra"
916,Em Manthram,Gowri," Koti,  Nithya Santhoshini"
917,Repe Lokam,Love Birds," A.R. Rahman,  Unni Krishnan,  Sujatha Mohan"
918,Entha Sepaina,Antham, Chitra
919,Pelli Dochindoi,Navvulaata," M.M. Sreelekha,  K. S. Chithra,  S.P. Balasubrahmanyam"
920,Kasai Katthi Padhunu,Speedunnodu," Revanth,  DJ Vasanth"
921,Manditho Paatugaa,Yatra, Sai Charan
922,Chitapata Chinukula Vana,Priya O Priya," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
923,Bang Bang,Bava Nachadu," M. M. Keeravani,  Shankar Mahadevan,  Sunitha Rao"
924,Jigi Jigi Jinka,Gowri," Koti,  Smitha (Nivedhitha),  Ravi Varma"
925,Ayyo Ayyayyo,Asha Asha Asha," Suresh Peters,  Sujatha Mohan,  G.V. Prakash Kumar"
926,Chamaku Chamaku Manu,Rayalaseema Ramanna Choudary," Mani Sharma,  Sukhwinder Singh,  K. S. Chithra"
927,Dikkulani Daatindhi,Nenu, Karthik
928,Oka Cheli,Asha Asha Asha," S.P. Balasubrahmanyam,  Swarnalatha"
929,Dandalu Pettu,Mamagaru, S. P. Balasubrahmanyam
930,Kuhu Kuhu Kuyavaa,Adrushtam," S.P. Balasubrahmanyam,  Chitra"
931,Amma Donga,Rowdi Mogudu," S.P. Balasubrahmanyam,  K. S. Chithra"
932,Come On Come On,Love Birds," A.R. Rahman,  Mano"
933,Theme Music,Number One (Original Motion Picture Soundtrack), S.V. Krishna Reddy
934,Ammammo,Balaram Krishndu," S.P. Balasubrahmanyam,  Chitra"
935,Asalem Gurthukuradhu - Lofi Mix,"Asalem Gurthukuradhu - Lofi Mix (From ""Antahpuram"")", K. S. Chithra
936,Eeyalle Achamaina,Mamagaru," S. P. Balasubrahmanyam,  P.B.Swarnalatha"
937,Kannadu Maa Ayya,Aathma Bandham," S.P. Balasubrahmanyam,  Vani Jairam"
938,Galli Loni Matti Mattiki,Satya, Rajesh Krishnan
939,Yepudokapudu Kalanthu,Rangeli, S. Janaki
940,Amitabh Bachan Haitu,Swapna Lokam," Udit Narayan,  Sharada"
941,Samara Shankham - Nee Kanulalo Kolimai Ragile Kaledoo,Yatra, Kaala Bhairava
942,Nee Ohallo,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  Sunitha,  Suresh Peters"
943,Naa Kannulalo,W/o V. Vara Prasad," S.P. Balasubrahmanyam,  K. S. Chithra"
944,Mummu Mummu Muddistha,Oka Chinna Maata," Bharadwaj,  Mano,  Srilekha"
945,Aiswarya Rai Neeku,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  Naveen"
946,Samajavaragamana DJ A.Sen Lo-Fi Mix,Ala Vaikunthapurramuloo, Sid Sriram
947,Deelaiko Vango,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam"
948,Lechindi Lediki Parugu,Money," S.P. Balasubrahmanyam,  Chakravarthi,  Chitra"
949,Rama Hay Rama,Veedevadandee Babu," Sirpi,  Manu,  Geeta"
950,Norara Navveddam,Navvuthu Bathakalira," Devi Sri Prasad,  S.P. Balasubrahmanyam"
951,I Love You Love You,Veedevadandee Babu," Sirpi,  Manu"
952,Kalalenduku,Sutradharulu," S. P. Balasubrahmanyam,  S.P. Sailaja"
953,Gundelo Sandadi,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  Sasi Preetham,  K. S. Chithra"
954,Maa Father O Tiger,Little Soldiers, Mano
955,Choostha Choostane,Nenu, Karthik
956,Adhi Bhikshuvu,Sri Vennila, S. P. Balasubrahmanyam
957,Hai Shabba,Nippu Ravva," S.P. Balasubrahmanyam,  Chitra,  Chorus"
958,Jam Jam Jam Jam,Maanikyam, S.P. Balasubrahmanyam
959,Endhaku Endhaku,Nenu, Karthik
960,Maradhalu Pilla,Nayudu Gari Kutumbam," S. P. Balasubramaniyam,  K. S. Chitra"
961,Madhuramaina Raagala F,Sneha Sangamam," K. S. Chithra,  Nadeem-Shravan"
962,Surajya Manaleni,Gayam, S.P. Balasubrahmanyam
963,Chelimeeda,Gayam," Mano,  Chitra"
964,Earu Jolapadenayya Sami,Chakravarthy, S.P. Balasubrahmanyam
965,Puvvai Virise Pranam,Ranga Maarthaanda, Ilaiyaraaja
966,"Tears, Blood And Breach (Telugu)",Rrr Ost Vol-5, M.M. Keeravaani
967,Adarahoo Andamaa,Chilakkottudu," S.P. Balasubrahmanyam,  Chitra"
968,Randi Kadali Randi,Nippu Ravva," S.P. Balasubrahmanyam,  Chorus"
969,Timentha,Nippu Ravva," S.P. Balasubrahmanyam,  Chorus"
970,Raara Aatagaada,OK Bangaram," A.R. Rahman,  Aaryan Dinesh Kanagaratnam (ADK),  Darshana KT,  Shashaa Tirupati"
971,O Priya Swagatham,Shubhalekhalu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
972,Matthagajame,Rudhramadevi," S.P. Balasubrahmanyam,  Kailash Kher,  Chitra"
973,Balegundi Chudu,Chilakkottudu," S.P. Balasubrahmanyam,  Chitra"
974,Evarivo Nannu,Tharangalu," S.P. Balasubrahmanyam,  Chitra"
975,Aye Amaayika,OK Bangaram," A.R. Rahman,  Karthik"
976,Yedho Adaganaa,OK Bangaram," A.R. Rahman,  Shashaa Tirupati,  Sathyaprakash D"
977,Neetho Alaa,OK Bangaram," A.R. Rahman,  Karthik,  Darshana KT,  Maria Roe Vincent"
978,Ammai Abba,Bhale Mogadu," S.P. Balasubrahmanyam,  S. Janaki"
979,Takadhimi,Ami Thumi," Sweekar Agasthi,  Ramya Behara"
980,Sai Shirdi Sai,99 Songs (Telugu)," A.R. Rahman,  Bela Shende"
981,Dheemaga,Antariksham 9000 KMPH," Benny Dayal,  Anurag Kulkarni"
982,Maayedho Cheyyava,OK Bangaram," A.R. Rahman,  Karthik,  Shashaa Tirupati"
983,Mental Madhilo (Female),OK Bangaram," A.R. Rahman,  Darshana KT"
984,Nuvvu Leni,Rangula Ratnam, Kala Bhairava
985,Poddu Vali Poye,Thoorupu Sindhuram," S. P. Balasubrahmanyam,  Ilaiyaraaja"
986,Paccha Pacchani,Thoorupu Sindhuram," S. P. Balasubrahmanyam,  Ilaiyaraaja"
987,Okey Oka Asha,Ravanna," S.A. Raj Kumar,  Udit Narayan,  K. S. Chithra"
988,Thakadheemtha,Maa Uri Maaraju," Koti,  S.P. Balasubrahmanyam"
989,Cheliya,Om 3D," K. Sai Karthik,  Achu,  Ramya NSK"
990,Gagana Seemaladire Maa Inta,Swapna Lokam," S. P. Balasubrahmanyam,  Swarnalatha"
991,Kayyala Ramude,Gandhi," Mani Sharma,  Mano,  Parthasarathi"
992,Poolakomma,Ravanna," S.A. Raj Kumar,  Udit Narayan,  Sujatha Mohan"
993,Aa Merupemito,"Aa Merupemito (From ""Aa Ammayi Gurinchi Meeku Cheppali"")"," Vivek Sagar,  Anurag Kulkarni"
994,Gorrantha Guttundi,Chelikaadu," S.A. Raj Kumar,  K. S. Chithra,  Anuradha Sriram"
