,song_name,movie_album,singers
287,Repalle Malle Murali Vinnidi,Allari Mogudu," S.P. Balasubrahmanyam,  Chitra"
288,Tummeda - O-Tummeda,Srinivasa Kalyanam," S.P. Balasubrahmanyam,  P. Susheela"
289,Chik Buk Pori,Anji," Mani Sharma,  Shankar Mahadevan,  Kalpana"
293,Taralirada,Rudraveena," Ilaiyaraaja,  S.P. Balasubrahmanyam"
294,Amma Ane Pilichi,Simharasi," S. Janaki,  S.A. Rajkumar"
302,Muddimmindi,Allari Mogudu," S.P. Balasubrahmanyam,  Chitra"
303,Kopam Vasthe,Taraka Ramudu," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
307,Ee Yogamanukomu,Sri Anjaneyam, S. P. Balasubrahmanyam
309,Laali Laali,Indira, Harini
310,Koncham Karanga,Chakram," Chakri,  Kousalya"
311,Manasuna Unnadi (Male),Priyamainaneeku," Shivashankar,  S.P. Balasubrahmanyam"
313,Bhavyamyna,Pournamy," Devi Sri Prasad,  Jayadev,  Punya Srinivas"
317,Nee Vupuri Nee Sothama,Snehitudu, Ramakrishnan Murthy
318,Naa Paata Panchamrutham,Allari Mogudu, S.P. Balasubrahmanyam
319,Manasulone Nilichipoke,Varudu Kaavalenu, Chinmayi Sripada
320,Yemantave Oh Manasa,Ninne Ishtapaddanu," R.P. Patnaik,  K. S. Chithra,  S.P. Balasubrahmanyam"
321,Andala Prayam,Vamshoddarakudu," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
324,Chukkallara,Apathbhandavudu, Chitra
326,Manasuna Mansuga,Love Birds," A.R. Rahman,  Hariharan,  Sujatha Mohan"
327,Aakasa Ganga (Pathos),Vaana," Kamalakar,  Karthik"
331,Meghala Pallakilona,Ela Cheppanu," Koti,  Sunitha,  Sri Ram Prabhu"
336,Hayiga Amma Ollo,Yagnam," Mani Sharma,  Gopika Poornima,  Vardhani Thaman"
337,Thirumalavasa,Bhadra," Devi Sri Prasad,  Sumangali"
338,Avayi Tuvvayi,Sri Anjaneyam," Tippu,  Shreya Ghoshal"
339,Indhumati Charumathi,Raja Simham," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
